condition_id,kind,game_variant,goal_framing,model,persona,instruction_wording,response_format,temperature,persona_format,runs,choices,mean_choice,mean_reasoning_depth,mass_17_19,mass_19_20,mass_17_20,h1_score,h3_score,entropy_bits,modal_choice,modal_share,unique_choices,p_11,p_12,p_13,p_14,p_15,p_16,p_17,p_18,p_19,p_20,js_to_basic,tv_to_basic,emd_to_basic,js_to_cycle,tv_to_cycle,emd_to_cycle,js_to_costless,tv_to_costless,emd_to_costless,js_to_own_anchor_descriptive_only,nearest_human_anchor,own_anchor_is_nearest,own_anchor_margin
game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-cautious,grid,basic,none,gemma-4-31b,cautious,default,default,0.5,default,5,10,11.0,9.0,0.0,0.0,0.0,0.0,-0.5,-0.0,11,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.936856147684368,0.96,0.6777777777777776,0.9770011750748849,0.985,0.8233333333333333,1.002496882788171,1.005,0.7777777777777777,0.936856147684368,basic,1,0.04014502739051695
game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-competitive,grid,basic,none,gemma-4-31b,competitive,default,default,0.5,default,5,10,20.0,0.0,0.0,1.0,1.0,-1.0,0.5,-0.0,20,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9130603096129529,0.94,0.32222222222222224,0.8390801885409714,0.865,0.1788888888888889,0.8269148143944366,0.855,0.2244444444444444,0.9130603096129529,costless,0,-0.08614549521851633
game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-intuitive,grid,basic,none,gemma-4-31b,intuitive,default,default,0.5,default,5,10,20.0,0.0,0.0,1.0,1.0,-1.0,0.5,-0.0,20,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9130603096129529,0.94,0.32222222222222224,0.8390801885409714,0.865,0.1788888888888889,0.8269148143944366,0.855,0.2244444444444444,0.9130603096129529,costless,0,-0.08614549521851633
game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral,grid,basic,none,gemma-4-31b,neutral,default,default,0.5,default,5,10,20.0,0.0,0.0,1.0,1.0,-1.0,0.5,-0.0,20,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9130603096129529,0.94,0.32222222222222224,0.8390801885409714,0.865,0.1788888888888889,0.8269148143944366,0.855,0.2244444444444444,0.9130603096129529,costless,0,-0.08614549521851633
game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral__temperature-1.0,variation,basic,none,gemma-4-31b,neutral,default,default,1.0,default,5,10,20.0,0.0,0.0,1.0,1.0,-1.0,0.5,-0.0,20,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9130603096129529,0.94,0.32222222222222224,0.8390801885409714,0.865,0.1788888888888889,0.8269148143944366,0.855,0.2244444444444444,0.9130603096129529,costless,0,-0.08614549521851633
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-cautious,grid,basic,none,qwen3.5-27b-fp8,cautious,default,default,0.5,default,5,10,15.0,5.0,0.5,0.5,0.5,0.0,0.0,1.0,11,0.5,2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.8230463918434755,0.84,0.3088888888888889,0.6890793019443545,0.515,0.37888888888888883,0.7476735738761937,0.605,0.33333333333333326,0.8230463918434755,cycle,0,-0.13396708989912098
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-competitive,grid,basic,none,qwen3.5-27b-fp8,competitive,default,default,0.5,default,5,10,19.0,1.0,1.0,1.0,1.0,0.0,0.5,-0.0,19,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8514147570828059,0.88,0.22444444444444445,0.5748889471688243,0.525,0.09888888888888889,0.6330999936845351,0.605,0.14444444444444446,0.8514147570828059,cycle,0,-0.27652580991398157
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-intuitive,grid,basic,none,qwen3.5-27b-fp8,intuitive,default,default,0.5,default,5,10,13.400000000000002,6.6000000000000005,0.2,0.2,0.2,0.0,-0.3,0.7219280948873623,12,0.8,2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.9204838724996792,0.88,0.4244444444444444,0.813334677495248,0.785,0.5588888888888888,0.7832682619457517,0.765,0.511111111111111,0.9204838724996792,costless,0,-0.1372156105539275
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral,grid,basic,none,qwen3.5-27b-fp8,neutral,default,default,0.5,default,5,10,12.0,8.0,0.0,0.0,0.0,0.0,-0.5,-0.0,12,1.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5755555555555554,0.9770011750748849,0.985,0.7144444444444444,0.9395208573810346,0.965,0.6666666666666665,1.0,costless,0,-0.060479142618965365
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral__instruction_wording-descending-range,variation,basic,none,qwen3.5-27b-fp8,neutral,descending-range,default,0.5,default,5,10,19.0,1.0,1.0,1.0,1.0,0.0,0.5,-0.0,19,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8514147570828059,0.88,0.22444444444444445,0.5748889471688243,0.525,0.09888888888888889,0.6330999936845351,0.605,0.14444444444444446,0.8514147570828059,cycle,0,-0.27652580991398157
