condition_id,seed,agent_position,model,game_variant,goal_framing,persona,instruction_wording,response_format,temperature,persona_format,choice,declared_choice,first_valid_choice_token,action_matches_first_token,output_sha256,output_prefix,output_suffix,tar_action_member,tar_prompt_member
game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral,3001,1,gemma-4-31b,basic,none,neutral,default,default,0.5,default,20,19,20,1,33cd65f5e8bd2441f0d26715e9591fca8538f8553e1df918732d199a9c27382b,Analysis: The game is a variation of a coordination/competition game. Payoff = Choice + (20 if Choice = Other - 1 else 0). The bonus (20) is significantly larger than the difference between the minimum (11) and maximum (20) possible base re,is a strong strategic choice as it captures the bonus if the opponent plays the maximum (20) and maintains a high base payoff.  ACTION: CHOOSE_NUMBER number: 19,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral/seed_3001/run/action_events.jsonl.gz,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral/seed_3001/run/prompts_and_responses.jsonl.gz
game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral,3001,2,gemma-4-31b,basic,none,neutral,default,default,0.5,default,20,19,20,1,33cd65f5e8bd2441f0d26715e9591fca8538f8553e1df918732d199a9c27382b,Analysis: The game is a variation of a coordination/competition game. Payoff = Choice + (20 if Choice = Other - 1 else 0). The bonus (20) is significantly larger than the difference between the minimum (11) and maximum (20) possible base re,is a strong strategic choice as it captures the bonus if the opponent plays the maximum (20) and maintains a high base payoff.  ACTION: CHOOSE_NUMBER number: 19,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral/seed_3001/run/action_events.jsonl.gz,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral/seed_3001/run/prompts_and_responses.jsonl.gz
game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral,3002,1,gemma-4-31b,basic,none,neutral,default,default,0.5,default,20,19,20,1,33cd65f5e8bd2441f0d26715e9591fca8538f8553e1df918732d199a9c27382b,Analysis: The game is a variation of a coordination/competition game. Payoff = Choice + (20 if Choice = Other - 1 else 0). The bonus (20) is significantly larger than the difference between the minimum (11) and maximum (20) possible base re,is a strong strategic choice as it captures the bonus if the opponent plays the maximum (20) and maintains a high base payoff.  ACTION: CHOOSE_NUMBER number: 19,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral/seed_3002/run/action_events.jsonl.gz,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral/seed_3002/run/prompts_and_responses.jsonl.gz
game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral,3002,2,gemma-4-31b,basic,none,neutral,default,default,0.5,default,20,19,20,1,33cd65f5e8bd2441f0d26715e9591fca8538f8553e1df918732d199a9c27382b,Analysis: The game is a variation of a coordination/competition game. Payoff = Choice + (20 if Choice = Other - 1 else 0). The bonus (20) is significantly larger than the difference between the minimum (11) and maximum (20) possible base re,is a strong strategic choice as it captures the bonus if the opponent plays the maximum (20) and maintains a high base payoff.  ACTION: CHOOSE_NUMBER number: 19,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral/seed_3002/run/action_events.jsonl.gz,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral/seed_3002/run/prompts_and_responses.jsonl.gz
game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral,3003,1,gemma-4-31b,basic,none,neutral,default,default,0.5,default,20,19,20,1,33cd65f5e8bd2441f0d26715e9591fca8538f8553e1df918732d199a9c27382b,Analysis: The game is a variation of a coordination/competition game. Payoff = Choice + (20 if Choice = Other - 1 else 0). The bonus (20) is significantly larger than the difference between the minimum (11) and maximum (20) possible base re,is a strong strategic choice as it captures the bonus if the opponent plays the maximum (20) and maintains a high base payoff.  ACTION: CHOOSE_NUMBER number: 19,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral/seed_3003/run/action_events.jsonl.gz,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral/seed_3003/run/prompts_and_responses.jsonl.gz
game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral,3003,2,gemma-4-31b,basic,none,neutral,default,default,0.5,default,20,19,20,1,33cd65f5e8bd2441f0d26715e9591fca8538f8553e1df918732d199a9c27382b,Analysis: The game is a variation of a coordination/competition game. Payoff = Choice + (20 if Choice = Other - 1 else 0). The bonus (20) is significantly larger than the difference between the minimum (11) and maximum (20) possible base re,is a strong strategic choice as it captures the bonus if the opponent plays the maximum (20) and maintains a high base payoff.  ACTION: CHOOSE_NUMBER number: 19,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral/seed_3003/run/action_events.jsonl.gz,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral/seed_3003/run/prompts_and_responses.jsonl.gz
game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral,3004,1,gemma-4-31b,basic,none,neutral,default,default,0.5,default,20,19,20,1,33cd65f5e8bd2441f0d26715e9591fca8538f8553e1df918732d199a9c27382b,Analysis: The game is a variation of a coordination/competition game. Payoff = Choice + (20 if Choice = Other - 1 else 0). The bonus (20) is significantly larger than the difference between the minimum (11) and maximum (20) possible base re,is a strong strategic choice as it captures the bonus if the opponent plays the maximum (20) and maintains a high base payoff.  ACTION: CHOOSE_NUMBER number: 19,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral/seed_3004/run/action_events.jsonl.gz,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral/seed_3004/run/prompts_and_responses.jsonl.gz
game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral,3004,2,gemma-4-31b,basic,none,neutral,default,default,0.5,default,20,19,20,1,33cd65f5e8bd2441f0d26715e9591fca8538f8553e1df918732d199a9c27382b,Analysis: The game is a variation of a coordination/competition game. Payoff = Choice + (20 if Choice = Other - 1 else 0). The bonus (20) is significantly larger than the difference between the minimum (11) and maximum (20) possible base re,is a strong strategic choice as it captures the bonus if the opponent plays the maximum (20) and maintains a high base payoff.  ACTION: CHOOSE_NUMBER number: 19,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral/seed_3004/run/action_events.jsonl.gz,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral/seed_3004/run/prompts_and_responses.jsonl.gz
game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral,3005,1,gemma-4-31b,basic,none,neutral,default,default,0.5,default,20,19,20,1,33cd65f5e8bd2441f0d26715e9591fca8538f8553e1df918732d199a9c27382b,Analysis: The game is a variation of a coordination/competition game. Payoff = Choice + (20 if Choice = Other - 1 else 0). The bonus (20) is significantly larger than the difference between the minimum (11) and maximum (20) possible base re,is a strong strategic choice as it captures the bonus if the opponent plays the maximum (20) and maintains a high base payoff.  ACTION: CHOOSE_NUMBER number: 19,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral/seed_3005/run/action_events.jsonl.gz,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral/seed_3005/run/prompts_and_responses.jsonl.gz
game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral,3005,2,gemma-4-31b,basic,none,neutral,default,default,0.5,default,20,19,20,1,33cd65f5e8bd2441f0d26715e9591fca8538f8553e1df918732d199a9c27382b,Analysis: The game is a variation of a coordination/competition game. Payoff = Choice + (20 if Choice = Other - 1 else 0). The bonus (20) is significantly larger than the difference between the minimum (11) and maximum (20) possible base re,is a strong strategic choice as it captures the bonus if the opponent plays the maximum (20) and maintains a high base payoff.  ACTION: CHOOSE_NUMBER number: 19,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral/seed_3005/run/action_events.jsonl.gz,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-gemma-4-31b__persona-neutral/seed_3005/run/prompts_and_responses.jsonl.gz
