claim_id,official_parent,design_variable,design_level,seed,stratum_id,signed_effect,treatment_value,reference_value,model,goal_framing,persona,treatment_condition_id,treatment_tar_member,reference_condition_id,reference_tar_member,game_variant
H1,h1_human_anchor,default_grid,default,3001,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,default_grid,default,3002,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,default_grid,default,3003,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,default_grid,default,3004,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,default_grid,default,3005,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,default_grid,default,3001,model=qwen3.5-9b,0.0,0.0,0.0,qwen3.5-9b,,,,,,,
H1,h1_human_anchor,default_grid,default,3002,model=qwen3.5-9b,0.0,0.0,0.0,qwen3.5-9b,,,,,,,
H1,h1_human_anchor,default_grid,default,3003,model=qwen3.5-9b,0.0,0.0,0.0,qwen3.5-9b,,,,,,,
H1,h1_human_anchor,default_grid,default,3004,model=qwen3.5-9b,0.0,0.0,0.0,qwen3.5-9b,,,,,,,
H1,h1_human_anchor,default_grid,default,3005,model=qwen3.5-9b,0.0,0.0,0.0,qwen3.5-9b,,,,,,,
H1,h1_human_anchor,default_grid,default,3001,model=qwen3.5-4b,0.0,0.0,0.0,qwen3.5-4b,,,,,,,
H1,h1_human_anchor,default_grid,default,3002,model=qwen3.5-4b,0.0,0.0,0.0,qwen3.5-4b,,,,,,,
H1,h1_human_anchor,default_grid,default,3003,model=qwen3.5-4b,0.0,0.0,0.0,qwen3.5-4b,,,,,,,
H1,h1_human_anchor,default_grid,default,3004,model=qwen3.5-4b,0.0,0.0,0.0,qwen3.5-4b,,,,,,,
H1,h1_human_anchor,default_grid,default,3005,model=qwen3.5-4b,0.0,0.0,0.0,qwen3.5-4b,,,,,,,
H1,h1_human_anchor,default_grid,default,3001,model=gemma-4-31b,-1.0,-1.0,0.0,gemma-4-31b,,,,,,,
H1,h1_human_anchor,default_grid,default,3002,model=gemma-4-31b,-1.0,-1.0,0.0,gemma-4-31b,,,,,,,
H1,h1_human_anchor,default_grid,default,3003,model=gemma-4-31b,-1.0,-1.0,0.0,gemma-4-31b,,,,,,,
H1,h1_human_anchor,default_grid,default,3004,model=gemma-4-31b,-1.0,-1.0,0.0,gemma-4-31b,,,,,,,
H1,h1_human_anchor,default_grid,default,3005,model=gemma-4-31b,-1.0,-1.0,0.0,gemma-4-31b,,,,,,,
H1,h1_human_anchor,instruction_wording,descending-range,3001,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,instruction_wording,descending-range,3002,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,instruction_wording,descending-range,3003,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,instruction_wording,descending-range,3004,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,instruction_wording,descending-range,3005,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,instruction_wording,numbers-as-words,3001,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,instruction_wording,numbers-as-words,3002,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,instruction_wording,numbers-as-words,3003,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,instruction_wording,numbers-as-words,3004,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,instruction_wording,numbers-as-words,3005,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,instruction_wording,paraphrase-a,3001,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,instruction_wording,paraphrase-a,3002,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,instruction_wording,paraphrase-a,3003,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,instruction_wording,paraphrase-a,3004,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,instruction_wording,paraphrase-a,3005,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,instruction_wording,paraphrase-b,3001,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,instruction_wording,paraphrase-b,3002,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,instruction_wording,paraphrase-b,3003,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,instruction_wording,paraphrase-b,3004,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,instruction_wording,paraphrase-b,3005,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,response_format,bare-number,3001,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,response_format,bare-number,3002,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,response_format,bare-number,3003,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,response_format,bare-number,3004,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,response_format,bare-number,3005,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,temperature,1.0,3001,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,temperature,1.0,3002,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,temperature,1.0,3003,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,temperature,1.0,3004,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,temperature,1.0,3005,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,temperature,1.0,3001,model=qwen3.5-9b,0.0,0.0,0.0,qwen3.5-9b,,,,,,,
H1,h1_human_anchor,temperature,1.0,3002,model=qwen3.5-9b,0.0,0.0,0.0,qwen3.5-9b,,,,,,,
H1,h1_human_anchor,temperature,1.0,3003,model=qwen3.5-9b,0.0,0.0,0.0,qwen3.5-9b,,,,,,,
H1,h1_human_anchor,temperature,1.0,3004,model=qwen3.5-9b,0.0,0.0,0.0,qwen3.5-9b,,,,,,,
H1,h1_human_anchor,temperature,1.0,3005,model=qwen3.5-9b,0.0,0.0,0.0,qwen3.5-9b,,,,,,,
H1,h1_human_anchor,temperature,1.0,3001,model=qwen3.5-4b,0.0,0.0,0.0,qwen3.5-4b,,,,,,,
H1,h1_human_anchor,temperature,1.0,3002,model=qwen3.5-4b,0.0,0.0,0.0,qwen3.5-4b,,,,,,,
H1,h1_human_anchor,temperature,1.0,3003,model=qwen3.5-4b,0.0,0.0,0.0,qwen3.5-4b,,,,,,,
H1,h1_human_anchor,temperature,1.0,3004,model=qwen3.5-4b,0.0,0.0,0.0,qwen3.5-4b,,,,,,,
H1,h1_human_anchor,temperature,1.0,3005,model=qwen3.5-4b,0.0,0.0,0.0,qwen3.5-4b,,,,,,,
H1,h1_human_anchor,temperature,1.0,3001,model=gemma-4-31b,-1.0,-1.0,0.0,gemma-4-31b,,,,,,,
H1,h1_human_anchor,temperature,1.0,3002,model=gemma-4-31b,-1.0,-1.0,0.0,gemma-4-31b,,,,,,,
H1,h1_human_anchor,temperature,1.0,3003,model=gemma-4-31b,-1.0,-1.0,0.0,gemma-4-31b,,,,,,,
H1,h1_human_anchor,temperature,1.0,3004,model=gemma-4-31b,-1.0,-1.0,0.0,gemma-4-31b,,,,,,,
H1,h1_human_anchor,temperature,1.0,3005,model=gemma-4-31b,-1.0,-1.0,0.0,gemma-4-31b,,,,,,,
H1,h1_human_anchor,persona_format,descriptive,3001,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,persona_format,descriptive,3002,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,persona_format,descriptive,3003,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,persona_format,descriptive,3004,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,persona_format,descriptive,3005,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,persona_format,tabular,3001,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,persona_format,tabular,3002,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,persona_format,tabular,3003,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,persona_format,tabular,3004,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H1,h1_human_anchor,persona_format,tabular,3005,model=qwen3.5-27b-fp8,0.0,0.0,0.0,qwen3.5-27b-fp8,,,,,,,
H2,h2_cycle_shift,default_grid,default,3001,goal_framing=none|model=qwen3.5-27b-fp8|persona=neutral,0.0,12.0,12.0,qwen3.5-27b-fp8,none,neutral,game_variant-cycle__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral,beauty_contest/sweeps/runs/game_variant-cycle__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral/seed_3001/run/action_events.jsonl.gz,game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral/seed_3001/run/action_events.jsonl.gz,
H2,h2_cycle_shift,default_grid,default,3002,goal_framing=none|model=qwen3.5-27b-fp8|persona=neutral,0.0,12.0,12.0,qwen3.5-27b-fp8,none,neutral,game_variant-cycle__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral,beauty_contest/sweeps/runs/game_variant-cycle__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral/seed_3002/run/action_events.jsonl.gz,game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral/seed_3002/run/action_events.jsonl.gz,
H2,h2_cycle_shift,default_grid,default,3003,goal_framing=none|model=qwen3.5-27b-fp8|persona=neutral,0.0,12.0,12.0,qwen3.5-27b-fp8,none,neutral,game_variant-cycle__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral,beauty_contest/sweeps/runs/game_variant-cycle__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral/seed_3003/run/action_events.jsonl.gz,game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral/seed_3003/run/action_events.jsonl.gz,
H2,h2_cycle_shift,default_grid,default,3004,goal_framing=none|model=qwen3.5-27b-fp8|persona=neutral,0.0,12.0,12.0,qwen3.5-27b-fp8,none,neutral,game_variant-cycle__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral,beauty_contest/sweeps/runs/game_variant-cycle__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral/seed_3004/run/action_events.jsonl.gz,game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral,beauty_contest/sweeps/runs/game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral/seed_3004/run/action_events.jsonl.gz,
