claim_id,official_parent,design_variable,design_level,level_point_estimate,level_pooled_run_mean,level_median_stratum,level_sign_consistency,level_n_strata,level_n_seed_effects,level_seeds,level_hier_ci_low,level_hier_ci_high,level_seed_ci_low,level_seed_ci_high,level_ci_low,level_ci_high,matched_default_point_estimate,matched_default_pooled_run_mean,matched_default_median_stratum,matched_default_sign_consistency,matched_default_n_strata,matched_default_n_seed_effects,matched_default_seeds,matched_default_hier_ci_low,matched_default_hier_ci_high,matched_default_seed_ci_low,matched_default_seed_ci_high,matched_default_ci_low,matched_default_ci_high,global_default_point_estimate,matched_subset_selection_shift,incremental_design_shift,strict_reversal,support_boundary_crossing,level_supports_claim,matched_default_supports_claim,level_verdict
H1,h1_human_anchor,instruction_wording,descending-range,0.0,0.0,0.0,0.0,1,5,3001;3002;3003;3004;3005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,3001;3002;3003;3004;3005,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.25,0.0,False,False,False,False,uncertain
H1,h1_human_anchor,instruction_wording,numbers-as-words,0.0,0.0,0.0,0.0,1,5,3001;3002;3003;3004;3005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,3001;3002;3003;3004;3005,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.25,0.0,False,False,False,False,uncertain
H1,h1_human_anchor,instruction_wording,paraphrase-a,0.0,0.0,0.0,0.0,1,5,3001;3002;3003;3004;3005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,3001;3002;3003;3004;3005,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.25,0.0,False,False,False,False,uncertain
H1,h1_human_anchor,instruction_wording,paraphrase-b,0.0,0.0,0.0,0.0,1,5,3001;3002;3003;3004;3005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,3001;3002;3003;3004;3005,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.25,0.0,False,False,False,False,uncertain
H1,h1_human_anchor,response_format,bare-number,0.0,0.0,0.0,0.0,1,5,3001;3002;3003;3004;3005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,3001;3002;3003;3004;3005,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.25,0.0,False,False,False,False,uncertain
H1,h1_human_anchor,temperature,1.0,-0.25,-0.25,0.0,0.0,4,20,3001;3002;3003;3004;3005,-0.75,0.0,-0.25,-0.25,-0.75,0.0,-0.25,-0.25,0.0,0.0,4,20,3001;3002;3003;3004;3005,-0.75,0.0,-0.25,-0.25,-0.75,0.0,-0.25,0.0,0.0,False,False,False,False,uncertain
H1,h1_human_anchor,persona_format,descriptive,0.0,0.0,0.0,0.0,1,5,3001;3002;3003;3004;3005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,3001;3002;3003;3004;3005,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.25,0.0,False,False,False,False,uncertain
H1,h1_human_anchor,persona_format,tabular,0.0,0.0,0.0,0.0,1,5,3001;3002;3003;3004;3005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,3001;3002;3003;3004;3005,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.25,0.0,False,False,False,False,uncertain
H2,h2_cycle_shift,response_format,bare-number,0.0,0.0,0.0,0.0,2,10,3001;3002;3003;3004;3005,0.0,0.0,0.0,0.0,0.0,0.0,-1.05,-1.05,-1.05,0.0,2,10,3001;3002;3003;3004;3005,-2.8,0.0,-1.75,-0.35,-2.8,0.0,1.5499999999999998,-2.5999999999999996,1.05,False,False,False,False,uncertain
H2,h2_cycle_shift,temperature,1.0,-3.1,-3.1,-2.0,0.25,4,20,3001;3002;3003;3004;3005,-6.75,0.35,-3.175,-3.025,-6.75,0.35,-0.8,-0.8,0.0,0.25,4,20,3001;3002;3003;3004;3005,-3.0,0.575,-0.85,-0.75,-3.0,0.575,1.5499999999999998,-2.3499999999999996,-2.3,False,False,False,False,uncertain
H2,h2_cycle_shift,persona_format,descriptive,0.0,0.0,0.0,0.0,2,10,3001;3002;3003;3004;3005,0.0,0.0,0.0,0.0,0.0,0.0,-1.05,-1.05,-1.05,0.0,2,10,3001;3002;3003;3004;3005,-2.8,0.0,-1.75,-0.35,-2.8,0.0,1.5499999999999998,-2.5999999999999996,1.05,False,False,False,False,uncertain
H2,h2_cycle_shift,persona_format,tabular,0.0,0.0,0.0,0.0,2,10,3001;3002;3003;3004;3005,0.0,0.0,0.0,0.0,0.0,0.0,-1.05,-1.05,-1.05,0.0,2,10,3001;3002;3003;3004;3005,-2.8,0.0,-1.75,-0.35,-2.8,0.0,1.5499999999999998,-2.5999999999999996,1.05,False,False,False,False,uncertain
H3,h3_costless_depth_bound,response_format,bare-number,0.5,0.5,0.5,1.0,2,10,3001;3002;3003;3004;3005,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,2,10,3001;3002;3003;3004;3005,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,False,False,True,True,stable_support
H3,h3_costless_depth_bound,temperature,1.0,0.25,0.25,0.5,0.75,4,20,3001;3002;3003;3004;3005,-0.25,0.5,0.25,0.25,-0.25,0.5,0.5,0.5,0.5,1.0,4,20,3001;3002;3003;3004;3005,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,-0.25,False,False,True,True,uncertain
H3,h3_costless_depth_bound,persona_format,descriptive,0.5,0.5,0.5,1.0,2,10,3001;3002;3003;3004;3005,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,2,10,3001;3002;3003;3004;3005,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,False,False,True,True,stable_support
H3,h3_costless_depth_bound,persona_format,tabular,0.5,0.5,0.5,1.0,2,10,3001;3002;3003;3004;3005,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,2,10,3001;3002;3003;3004;3005,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,False,False,True,True,stable_support
H4,h4_strategic_framing,instruction_wording,descending-range,0.0,0.0,0.0,0.0,1,5,3001;3002;3003;3004;3005,0.0,0.0,0.0,0.0,0.0,0.0,-2.1,-2.1,-2.1,0.0,1,5,3001;3002;3003;3004;3005,-3.5,-0.7,-3.5,-0.7,-3.5,-0.7,-0.03333333333333334,-2.066666666666667,2.1,False,False,False,False,uncertain
H4,h4_strategic_framing,instruction_wording,numbers-as-words,1.4,1.4,1.4,1.0,1,5,3001;3002;3003;3004;3005,0.0,2.8,0.0,2.8,0.0,2.8,-2.1,-2.1,-2.1,0.0,1,5,3001;3002;3003;3004;3005,-3.5,-0.7,-3.5,-0.7,-3.5,-0.7,-0.03333333333333334,-2.066666666666667,3.5,True,True,True,False,design_reversal
H4,h4_strategic_framing,instruction_wording,paraphrase-a,0.0,0.0,0.0,0.0,1,5,3001;3002;3003;3004;3005,0.0,0.0,0.0,0.0,0.0,0.0,-2.1,-2.1,-2.1,0.0,1,5,3001;3002;3003;3004;3005,-3.5,-0.7,-3.5,-0.7,-3.5,-0.7,-0.03333333333333334,-2.066666666666667,2.1,False,False,False,False,uncertain
H4,h4_strategic_framing,instruction_wording,paraphrase-b,-1.4,-1.4,-1.4,0.0,1,5,3001;3002;3003;3004;3005,-4.2,1.4,-4.9,1.4,-4.9,1.4,-2.1,-2.1,-2.1,0.0,1,5,3001;3002;3003;3004;3005,-3.5,-0.7,-3.5,-0.7,-3.5,-0.7,-0.03333333333333334,-2.066666666666667,0.7000000000000002,False,False,False,False,uncertain
H4,h4_strategic_framing,response_format,bare-number,0.0,0.0,0.0,0.0,3,15,3001;3002;3003;3004;3005,0.0,0.0,0.0,0.0,0.0,0.0,-0.7000000000000001,-0.7,0.0,0.0,3,15,3001;3002;3003;3004;3005,-2.1,0.0,-1.1666666666666667,-0.23333333333333334,-2.1,0.0,-0.03333333333333334,-0.6666666666666667,0.7000000000000001,False,False,False,False,uncertain
H4,h4_strategic_framing,persona_format,descriptive,0.0,0.0,0.0,0.0,3,15,3001;3002;3003;3004;3005,0.0,0.0,0.0,0.0,0.0,0.0,-0.7000000000000001,-0.7,0.0,0.0,3,15,3001;3002;3003;3004;3005,-2.1,0.0,-1.1666666666666667,-0.23333333333333334,-2.1,0.0,-0.03333333333333334,-0.6666666666666667,0.7000000000000001,False,False,False,False,uncertain
H4,h4_strategic_framing,persona_format,tabular,0.0,0.0,0.0,0.0,3,15,3001;3002;3003;3004;3005,0.0,0.0,0.0,0.0,0.0,0.0,-0.7000000000000001,-0.7,0.0,0.0,3,15,3001;3002;3003;3004;3005,-2.1,0.0,-1.1666666666666667,-0.23333333333333334,-2.1,0.0,-0.03333333333333334,-0.6666666666666667,0.7000000000000001,False,False,False,False,uncertain
H5a,h5_model_scale,temperature,1.0,-0.8666666666666667,-0.8666666666666667,0.4,0.6666666666666666,3,15,3001;3002;3003;3004;3005,-8.0,5.0,-0.9666666666666668,-0.7666666666666666,-8.0,5.0,1.5999999999999999,1.6,0.0,0.3333333333333333,3,15,3001;3002;3003;3004;3005,0.0,4.766666666666667,1.5333333333333334,1.6666666666666667,0.0,4.766666666666667,0.6750000000000002,0.9249999999999997,-2.466666666666667,True,True,False,True,design_reversal
H5b,h5_model_scale,temperature,1.0,-0.4666666666666666,-0.4666666666666667,-0.4,0.0,3,15,3001;3002;3003;3004;3005,-1.0,0.0,-0.5666666666666667,-0.3666666666666666,-1.0,0.0,-0.26666666666666666,-0.26666666666666666,0.0,0.0,3,15,3001;3002;3003;3004;3005,-0.7666666666666666,0.0,-0.3333333333333333,-0.19999999999999998,-0.7666666666666666,0.0,-1.8333333333333333,1.5666666666666667,-0.19999999999999996,False,False,False,False,uncertain
