design_variable,design_level,goal_framing,n_paired_agent_choices,default_mean_choice,variation_mean_choice,mean_shift,exact_choice_agreement,regime_switch_rate,to_one_step_19_rate,default_deep_11_14_rate,deep_to_one_step_rate
instruction_wording,descending-range,none,10,12.0,19.0,7.0,0.0,1.0,1.0,1.0,1.0
instruction_wording,numbers-as-words,none,10,12.0,14.1,2.1,0.7,0.3,0.3,1.0,0.3
instruction_wording,paraphrase-a,none,10,12.0,19.0,7.0,0.0,1.0,1.0,1.0,1.0
instruction_wording,paraphrase-b,none,10,12.0,12.7,0.7,0.9,0.1,0.1,1.0,0.1
instruction_wording,descending-range,strategic,10,14.1,19.0,4.9,0.3,0.7,1.0,0.7,0.7
instruction_wording,numbers-as-words,strategic,10,14.1,12.7,-1.4,0.6,0.4,0.1,0.7,0.1
instruction_wording,paraphrase-a,strategic,10,14.1,19.0,4.9,0.3,0.7,1.0,0.7,0.7
instruction_wording,paraphrase-b,strategic,10,14.1,14.1,0.0,0.6,0.4,0.3,0.7,0.2
persona_format,descriptive,none,10,12.0,19.0,7.0,0.0,1.0,1.0,1.0,1.0
persona_format,tabular,none,10,12.0,19.0,7.0,0.0,1.0,1.0,1.0,1.0
persona_format,descriptive,strategic,10,14.1,19.0,4.9,0.3,0.7,1.0,0.7,0.7
persona_format,tabular,strategic,10,14.1,19.0,4.9,0.3,0.7,1.0,0.7,0.7
