claim_id,official_parent,design_variable,design_level,identifiable,n_strata,n_seed_effects,reason
P1a,h1_instruction_framing,persona_format,descriptive,True,12,60,matched claim arms exist under the non-default design level
P1a,h1_instruction_framing,persona_format,tabular,True,12,60,matched claim arms exist under the non-default design level
P1a,h1_instruction_framing,prompt_wording,paraphrase-a,True,9,45,matched claim arms exist under the non-default design level
P1a,h1_instruction_framing,prompt_wording,paraphrase-b,True,9,45,matched claim arms exist under the non-default design level
P1a,h1_instruction_framing,prompt_wording,defect-first,True,9,45,matched claim arms exist under the non-default design level
P1a,h1_instruction_framing,choice_labels,green-blue,True,9,45,matched claim arms exist under the non-default design level
P1a,h1_instruction_framing,choice_labels,action-ab,True,9,45,matched claim arms exist under the non-default design level
P1a,h1_instruction_framing,history_format,table,True,9,45,matched claim arms exist under the non-default design level
P1a,h1_instruction_framing,history_format,summary_counts,True,9,45,matched claim arms exist under the non-default design level
P1b,h1_instruction_framing,persona_format,descriptive,True,12,60,matched claim arms exist under the non-default design level
P1b,h1_instruction_framing,persona_format,tabular,True,12,60,matched claim arms exist under the non-default design level
P1b,h1_instruction_framing,prompt_wording,paraphrase-a,True,9,45,matched claim arms exist under the non-default design level
P1b,h1_instruction_framing,prompt_wording,paraphrase-b,True,9,45,matched claim arms exist under the non-default design level
P1b,h1_instruction_framing,prompt_wording,defect-first,True,9,45,matched claim arms exist under the non-default design level
P1b,h1_instruction_framing,choice_labels,green-blue,True,9,45,matched claim arms exist under the non-default design level
P1b,h1_instruction_framing,choice_labels,action-ab,True,9,45,matched claim arms exist under the non-default design level
P1b,h1_instruction_framing,history_format,table,True,9,45,matched claim arms exist under the non-default design level
P1b,h1_instruction_framing,history_format,summary_counts,True,9,45,matched claim arms exist under the non-default design level
P2a,h2_payoff_stakes,persona_format,descriptive,True,9,45,matched claim arms exist under the non-default design level
P2a,h2_payoff_stakes,persona_format,tabular,True,9,45,matched claim arms exist under the non-default design level
P2a,h2_payoff_stakes,prompt_wording,paraphrase-a,True,9,45,matched claim arms exist under the non-default design level
P2a,h2_payoff_stakes,prompt_wording,paraphrase-b,True,9,45,matched claim arms exist under the non-default design level
P2a,h2_payoff_stakes,prompt_wording,defect-first,True,9,45,matched claim arms exist under the non-default design level
P2a,h2_payoff_stakes,choice_labels,green-blue,True,9,45,matched claim arms exist under the non-default design level
P2a,h2_payoff_stakes,choice_labels,action-ab,True,9,45,matched claim arms exist under the non-default design level
P2a,h2_payoff_stakes,history_format,table,True,9,45,matched claim arms exist under the non-default design level
P2a,h2_payoff_stakes,history_format,summary_counts,True,9,45,matched claim arms exist under the non-default design level
P2b,h2_payoff_stakes,persona_format,descriptive,True,9,45,matched claim arms exist under the non-default design level
P2b,h2_payoff_stakes,persona_format,tabular,True,9,45,matched claim arms exist under the non-default design level
P2b,h2_payoff_stakes,prompt_wording,paraphrase-a,True,9,45,matched claim arms exist under the non-default design level
P2b,h2_payoff_stakes,prompt_wording,paraphrase-b,True,9,45,matched claim arms exist under the non-default design level
P2b,h2_payoff_stakes,prompt_wording,defect-first,True,9,45,matched claim arms exist under the non-default design level
P2b,h2_payoff_stakes,choice_labels,green-blue,True,9,45,matched claim arms exist under the non-default design level
P2b,h2_payoff_stakes,choice_labels,action-ab,True,9,45,matched claim arms exist under the non-default design level
P2b,h2_payoff_stakes,history_format,table,True,9,45,matched claim arms exist under the non-default design level
P2b,h2_payoff_stakes,history_format,summary_counts,True,9,45,matched claim arms exist under the non-default design level
P3,h3_fictional_frame,persona_format,descriptive,True,9,45,matched claim arms exist under the non-default design level
P3,h3_fictional_frame,persona_format,tabular,True,9,45,matched claim arms exist under the non-default design level
P3,h3_fictional_frame,prompt_wording,paraphrase-a,True,9,45,matched claim arms exist under the non-default design level
P3,h3_fictional_frame,prompt_wording,paraphrase-b,True,9,45,matched claim arms exist under the non-default design level
P3,h3_fictional_frame,prompt_wording,defect-first,True,9,45,matched claim arms exist under the non-default design level
P3,h3_fictional_frame,choice_labels,green-blue,True,9,45,matched claim arms exist under the non-default design level
P3,h3_fictional_frame,choice_labels,action-ab,True,9,45,matched claim arms exist under the non-default design level
P3,h3_fictional_frame,history_format,table,True,9,45,matched claim arms exist under the non-default design level
P3,h3_fictional_frame,history_format,summary_counts,True,9,45,matched claim arms exist under the non-default design level
