claim_id,official_parent,design_variable,design_level,level_point_estimate,level_pooled_run_mean,level_median_stratum,level_sign_consistency,level_n_strata,level_n_seed_effects,level_seeds,level_hier_ci_low,level_hier_ci_high,level_seed_ci_low,level_seed_ci_high,level_ci_low,level_ci_high,matched_default_point_estimate,matched_default_pooled_run_mean,matched_default_median_stratum,matched_default_sign_consistency,matched_default_n_strata,matched_default_n_seed_effects,matched_default_seeds,matched_default_hier_ci_low,matched_default_hier_ci_high,matched_default_seed_ci_low,matched_default_seed_ci_high,matched_default_ci_low,matched_default_ci_high,global_default_point_estimate,matched_subset_selection_shift,incremental_design_shift,strict_reversal,support_boundary_crossing,level_supports_claim,matched_default_supports_claim,level_verdict
P1a,h1_instruction_framing,persona_format,descriptive,0.0,0.0,0.0,0.0,12,60,8001;8002;8003;8004;8005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,60,8001;8002;8003;8004;8005,0.0,0.0,0.0,0.0,0.0,0.0,0.06701388888888889,-0.06701388888888889,0.0,False,False,False,False,uncertain
P1a,h1_instruction_framing,persona_format,tabular,0.0,0.0,0.0,0.0,12,60,8001;8002;8003;8004;8005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,60,8001;8002;8003;8004;8005,0.0,0.0,0.0,0.0,0.0,0.0,0.06701388888888889,-0.06701388888888889,0.0,False,False,False,False,uncertain
P1a,h1_instruction_framing,prompt_wording,paraphrase-a,0.0,0.0,0.0,0.0,9,45,8001;8002;8003;8004;8005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,45,8001;8002;8003;8004;8005,0.0,0.0,0.0,0.0,0.0,0.0,0.06701388888888889,-0.06701388888888889,0.0,False,False,False,False,uncertain
P1a,h1_instruction_framing,prompt_wording,paraphrase-b,0.0,0.0,0.0,0.0,9,45,8001;8002;8003;8004;8005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,45,8001;8002;8003;8004;8005,0.0,0.0,0.0,0.0,0.0,0.0,0.06701388888888889,-0.06701388888888889,0.0,False,False,False,False,uncertain
P1a,h1_instruction_framing,prompt_wording,defect-first,0.0,0.0,0.0,0.0,9,45,8001;8002;8003;8004;8005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,45,8001;8002;8003;8004;8005,0.0,0.0,0.0,0.0,0.0,0.0,0.06701388888888889,-0.06701388888888889,0.0,False,False,False,False,uncertain
P1a,h1_instruction_framing,choice_labels,green-blue,0.43333333333333335,0.43333333333333335,0.0,0.4444444444444444,9,45,8001;8002;8003;8004;8005,0.1111111111111111,0.7611111111111111,0.4333333333333334,0.4333333333333334,0.1111111111111111,0.7611111111111111,0.0,0.0,0.0,0.0,9,45,8001;8002;8003;8004;8005,0.0,0.0,0.0,0.0,0.0,0.0,0.06701388888888889,-0.06701388888888889,0.43333333333333335,False,True,True,False,support_boundary_crossing
P1a,h1_instruction_framing,choice_labels,action-ab,0.2111111111111111,0.2111111111111111,0.0,0.2222222222222222,9,45,8001;8002;8003;8004;8005,0.0,0.5277777777777778,0.2111111111111111,0.2111111111111111,0.0,0.5277777777777778,0.0,0.0,0.0,0.0,9,45,8001;8002;8003;8004;8005,0.0,0.0,0.0,0.0,0.0,0.0,0.06701388888888889,-0.06701388888888889,0.2111111111111111,False,True,True,False,support_boundary_crossing
P1a,h1_instruction_framing,history_format,table,0.0,0.0,0.0,0.0,9,45,8001;8002;8003;8004;8005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,45,8001;8002;8003;8004;8005,0.0,0.0,0.0,0.0,0.0,0.0,0.06701388888888889,-0.06701388888888889,0.0,False,False,False,False,uncertain
P1a,h1_instruction_framing,history_format,summary_counts,0.0,0.0,0.0,0.0,9,45,8001;8002;8003;8004;8005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,45,8001;8002;8003;8004;8005,0.0,0.0,0.0,0.0,0.0,0.0,0.06701388888888889,-0.06701388888888889,0.0,False,False,False,False,uncertain
P1b,h1_instruction_framing,persona_format,descriptive,0.9166666666666666,0.9166666666666666,1.0,0.9166666666666666,12,60,8001;8002;8003;8004;8005,0.75,1.0,0.9166666666666666,0.9166666666666666,0.75,1.0,0.9166666666666666,0.9166666666666666,1.0,0.9166666666666666,12,60,8001;8002;8003;8004;8005,0.75,1.0,0.9166666666666666,0.9166666666666666,0.75,1.0,0.25194444444444447,0.6647222222222222,0.0,False,False,True,True,stable_support
