seed,stratum_id,signed_effect,population,model,framing,scale_labels,condition_id,tar_event_member
6001,population=us|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.2493961352657004,us,qwen3.5-27b-fp8,neutral,default,population-us__condition-observed,observed_norms/sweeps/runs/population-us__condition-observed/seed_6001/run/probe_events.jsonl.gz
6002,population=us|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.13345410628019325,us,qwen3.5-27b-fp8,neutral,default,population-us__condition-observed,observed_norms/sweeps/runs/population-us__condition-observed/seed_6002/run/probe_events.jsonl.gz
6003,population=us|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.1956521739130435,us,qwen3.5-27b-fp8,neutral,default,population-us__condition-observed,observed_norms/sweeps/runs/population-us__condition-observed/seed_6003/run/probe_events.jsonl.gz
6004,population=us|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.2584541062801934,us,qwen3.5-27b-fp8,neutral,default,population-us__condition-observed,observed_norms/sweeps/runs/population-us__condition-observed/seed_6004/run/probe_events.jsonl.gz
6005,population=us|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.1878019323671498,us,qwen3.5-27b-fp8,neutral,default,population-us__condition-observed,observed_norms/sweeps/runs/population-us__condition-observed/seed_6005/run/probe_events.jsonl.gz
6006,population=us|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.2095410628019324,us,qwen3.5-27b-fp8,neutral,default,population-us__condition-observed,observed_norms/sweeps/runs/population-us__condition-observed/seed_6006/run/probe_events.jsonl.gz
6001,population=netherlands|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.09239130434782616,netherlands,qwen3.5-27b-fp8,neutral,default,population-netherlands__condition-observed,observed_norms/sweeps/runs/population-netherlands__condition-observed/seed_6001/run/probe_events.jsonl.gz
6002,population=netherlands|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.060990338164251444,netherlands,qwen3.5-27b-fp8,neutral,default,population-netherlands__condition-observed,observed_norms/sweeps/runs/population-netherlands__condition-observed/seed_6002/run/probe_events.jsonl.gz
6003,population=netherlands|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.07125603864734309,netherlands,qwen3.5-27b-fp8,neutral,default,population-netherlands__condition-observed,observed_norms/sweeps/runs/population-netherlands__condition-observed/seed_6003/run/probe_events.jsonl.gz
6004,population=netherlands|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.07729468599033822,netherlands,qwen3.5-27b-fp8,neutral,default,population-netherlands__condition-observed,observed_norms/sweeps/runs/population-netherlands__condition-observed/seed_6004/run/probe_events.jsonl.gz
6005,population=netherlands|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.570048309178744,netherlands,qwen3.5-27b-fp8,neutral,default,population-netherlands__condition-observed,observed_norms/sweeps/runs/population-netherlands__condition-observed/seed_6005/run/probe_events.jsonl.gz
6006,population=netherlands|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.875,netherlands,qwen3.5-27b-fp8,neutral,default,population-netherlands__condition-observed,observed_norms/sweeps/runs/population-netherlands__condition-observed/seed_6006/run/probe_events.jsonl.gz
6001,population=jordan|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,1.7240338164251208,jordan,qwen3.5-27b-fp8,neutral,default,population-jordan__condition-observed,observed_norms/sweeps/runs/population-jordan__condition-observed/seed_6001/run/probe_events.jsonl.gz
6002,population=jordan|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,1.7240338164251208,jordan,qwen3.5-27b-fp8,neutral,default,population-jordan__condition-observed,observed_norms/sweeps/runs/population-jordan__condition-observed/seed_6002/run/probe_events.jsonl.gz
6003,population=jordan|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,1.7240338164251208,jordan,qwen3.5-27b-fp8,neutral,default,population-jordan__condition-observed,observed_norms/sweeps/runs/population-jordan__condition-observed/seed_6003/run/probe_events.jsonl.gz
6004,population=jordan|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,2.5,jordan,qwen3.5-27b-fp8,neutral,default,population-jordan__condition-observed,observed_norms/sweeps/runs/population-jordan__condition-observed/seed_6004/run/probe_events.jsonl.gz
6005,population=jordan|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,1.7240338164251208,jordan,qwen3.5-27b-fp8,neutral,default,population-jordan__condition-observed,observed_norms/sweeps/runs/population-jordan__condition-observed/seed_6005/run/probe_events.jsonl.gz
6006,population=jordan|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,1.7240338164251208,jordan,qwen3.5-27b-fp8,neutral,default,population-jordan__condition-observed,observed_norms/sweeps/runs/population-jordan__condition-observed/seed_6006/run/probe_events.jsonl.gz
6001,population=japan|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,0.08997584541062793,japan,qwen3.5-27b-fp8,neutral,default,population-japan__condition-observed,observed_norms/sweeps/runs/population-japan__condition-observed/seed_6001/run/probe_events.jsonl.gz
6002,population=japan|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,0.4009661835748794,japan,qwen3.5-27b-fp8,neutral,default,population-japan__condition-observed,observed_norms/sweeps/runs/population-japan__condition-observed/seed_6002/run/probe_events.jsonl.gz
6003,population=japan|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,0.15458937198067613,japan,qwen3.5-27b-fp8,neutral,default,population-japan__condition-observed,observed_norms/sweeps/runs/population-japan__condition-observed/seed_6003/run/probe_events.jsonl.gz
6004,population=japan|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,0.2095410628019326,japan,qwen3.5-27b-fp8,neutral,default,population-japan__condition-observed,observed_norms/sweeps/runs/population-japan__condition-observed/seed_6004/run/probe_events.jsonl.gz
6005,population=japan|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,0.3357487922705313,japan,qwen3.5-27b-fp8,neutral,default,population-japan__condition-observed,observed_norms/sweeps/runs/population-japan__condition-observed/seed_6005/run/probe_events.jsonl.gz
6006,population=japan|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,0.05736714975845403,japan,qwen3.5-27b-fp8,neutral,default,population-japan__condition-observed,observed_norms/sweeps/runs/population-japan__condition-observed/seed_6006/run/probe_events.jsonl.gz
6001,population=mixed|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.7898550724637682,mixed,qwen3.5-27b-fp8,neutral,default,population-mixed__condition-observed,observed_norms/sweeps/runs/population-mixed__condition-observed/seed_6001/run/probe_events.jsonl.gz
6002,population=mixed|model=qwen3.5-27b-fp8|framing=neutral|scale_labels=default,-0.6884057971014489,mixed,qwen3.5-27b-fp8,neutral,default,population-mixed__condition-observed,observed_norms/sweeps/runs/population-mixed__condition-observed/seed_6002/run/probe_events.jsonl.gz
