condition_id,kind,seed,model,population,condition,framing,scale_labels,probe_calls,dispersion_compression,absolute_mean_shift,compression_q1_family_importance,compression_q182_homosexuality,compression_q188_euthanasia,mean_shift_q1_family_importance,mean_shift_q182_homosexuality,mean_shift_q188_euthanasia,tar_event_member,tar_prompt_member
population-us__condition-private,grid,6001,qwen3.5-27b-fp8,us,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-us__condition-private/seed_6001/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-us__condition-private/seed_6001/run/prompts_and_responses.jsonl.gz
population-us__condition-private,grid,6002,qwen3.5-27b-fp8,us,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-us__condition-private/seed_6002/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-us__condition-private/seed_6002/run/prompts_and_responses.jsonl.gz
population-us__condition-private,grid,6003,qwen3.5-27b-fp8,us,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-us__condition-private/seed_6003/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-us__condition-private/seed_6003/run/prompts_and_responses.jsonl.gz
population-us__condition-private,grid,6004,qwen3.5-27b-fp8,us,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-us__condition-private/seed_6004/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-us__condition-private/seed_6004/run/prompts_and_responses.jsonl.gz
population-us__condition-private,grid,6005,qwen3.5-27b-fp8,us,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-us__condition-private/seed_6005/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-us__condition-private/seed_6005/run/prompts_and_responses.jsonl.gz
population-us__condition-private,grid,6006,qwen3.5-27b-fp8,us,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-us__condition-private/seed_6006/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-us__condition-private/seed_6006/run/prompts_and_responses.jsonl.gz
population-us__condition-observed,grid,6001,qwen3.5-27b-fp8,us,observed,neutral,default,144,-0.2493961352657004,0.15277777777777812,0.0,-0.6449275362318841,-0.10326086956521707,0.0,-0.08333333333333393,-0.37500000000000044,observed_norms/sweeps/runs/population-us__condition-observed/seed_6001/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-us__condition-observed/seed_6001/run/prompts_and_responses.jsonl.gz
population-us__condition-observed,grid,6002,qwen3.5-27b-fp8,us,observed,neutral,default,144,-0.13345410628019325,0.2361111111111113,0.0,-0.6449275362318841,0.24456521739130443,0.0,-0.08333333333333393,-0.625,observed_norms/sweeps/runs/population-us__condition-observed/seed_6002/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-us__condition-observed/seed_6002/run/prompts_and_responses.jsonl.gz
population-us__condition-observed,grid,6003,qwen3.5-27b-fp8,us,observed,neutral,default,144,-0.1956521739130435,0.2500000000000003,0.0,-0.6449275362318841,0.05797101449275366,0.0,-0.08333333333333393,-0.666666666666667,observed_norms/sweeps/runs/population-us__condition-observed/seed_6003/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-us__condition-observed/seed_6003/run/prompts_and_responses.jsonl.gz
population-us__condition-observed,grid,6004,qwen3.5-27b-fp8,us,observed,neutral,default,144,-0.2584541062801934,0.3055555555555558,0.0,-0.9329710144927538,0.1576086956521736,0.0,-0.20833333333333393,-0.7083333333333335,observed_norms/sweeps/runs/population-us__condition-observed/seed_6004/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-us__condition-observed/seed_6004/run/prompts_and_responses.jsonl.gz
population-us__condition-observed,grid,6005,qwen3.5-27b-fp8,us,observed,neutral,default,144,-0.1878019323671498,0.20833333333333348,0.0,-0.6449275362318841,0.08152173913043481,0.0,-0.08333333333333393,-0.5416666666666665,observed_norms/sweeps/runs/population-us__condition-observed/seed_6005/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-us__condition-observed/seed_6005/run/prompts_and_responses.jsonl.gz
population-us__condition-observed,grid,6006,qwen3.5-27b-fp8,us,observed,neutral,default,144,-0.2095410628019324,0.3472222222222225,0.0,-0.9329710144927538,0.30434782608695654,0.0,-0.20833333333333393,-0.8333333333333335,observed_norms/sweeps/runs/population-us__condition-observed/seed_6006/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-us__condition-observed/seed_6006/run/prompts_and_responses.jsonl.gz
population-netherlands__condition-private,grid,6001,qwen3.5-27b-fp8,netherlands,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-netherlands__condition-private/seed_6001/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-netherlands__condition-private/seed_6001/run/prompts_and_responses.jsonl.gz
population-netherlands__condition-private,grid,6002,qwen3.5-27b-fp8,netherlands,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-netherlands__condition-private/seed_6002/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-netherlands__condition-private/seed_6002/run/prompts_and_responses.jsonl.gz
population-netherlands__condition-private,grid,6003,qwen3.5-27b-fp8,netherlands,private,neutral,default,72,,,,,,,,,observed_norms/sweeps/runs/population-netherlands__condition-private/seed_6003/run/probe_events.jsonl.gz,observed_norms/sweeps/runs/population-netherlands__condition-private/seed_6003/run/prompts_and_responses.jsonl.gz
