seed,action_prompt,model,interaction_pathway,treatment_value,treatment_condition,treatment_tar_member,reference_value,reference_condition,reference_tar_member,signed_effect,stratum_id,claim_id,official_parent,design_variable,design_level,persona_richness
7001,deliberate,qwen3.5-27b-fp8,closed,0.9135435388552783,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7001/run/action_events.jsonl.gz,0.9112337951105473,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7001/run/action_events.jsonl.gz,0.00230974374473103,action_prompt=deliberate|model=qwen3.5-27b-fp8|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7002,deliberate,qwen3.5-27b-fp8,closed,0.9124618722384348,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7002/run/action_events.jsonl.gz,0.8910534728726324,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7002/run/action_events.jsonl.gz,0.02140839936580241,action_prompt=deliberate|model=qwen3.5-27b-fp8|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7003,deliberate,qwen3.5-27b-fp8,closed,0.9099023056046928,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7003/run/action_events.jsonl.gz,0.9041326476347691,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7003/run/action_events.jsonl.gz,0.0057696579699236805,action_prompt=deliberate|model=qwen3.5-27b-fp8|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7004,deliberate,qwen3.5-27b-fp8,closed,0.9087645971311299,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7004/run/action_events.jsonl.gz,0.901099878063733,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7004/run/action_events.jsonl.gz,0.007664719067396852,action_prompt=deliberate|model=qwen3.5-27b-fp8|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7005,deliberate,qwen3.5-27b-fp8,closed,0.9123749969595987,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7005/run/action_events.jsonl.gz,0.8944191531942753,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7005/run/action_events.jsonl.gz,0.01795584376532333,action_prompt=deliberate|model=qwen3.5-27b-fp8|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7006,deliberate,qwen3.5-27b-fp8,closed,0.9057716832650298,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7006/run/action_events.jsonl.gz,0.8994634250970579,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7006/run/action_events.jsonl.gz,0.00630825816797187,action_prompt=deliberate|model=qwen3.5-27b-fp8|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7007,deliberate,qwen3.5-27b-fp8,closed,0.9170068208403606,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7007/run/action_events.jsonl.gz,0.9028552631469243,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7007/run/action_events.jsonl.gz,0.014151557693436234,action_prompt=deliberate|model=qwen3.5-27b-fp8|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7008,deliberate,qwen3.5-27b-fp8,closed,0.9151345177472484,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7008/run/action_events.jsonl.gz,0.9141036864577264,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7008/run/action_events.jsonl.gz,0.0010308312895219718,action_prompt=deliberate|model=qwen3.5-27b-fp8|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7001,deliberate,qwen3.5-9b,closed,0.9079348412125834,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b/seed_7001/run/action_events.jsonl.gz,0.7977868876587436,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b/seed_7001/run/action_events.jsonl.gz,0.11014795355383977,action_prompt=deliberate|model=qwen3.5-9b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7002,deliberate,qwen3.5-9b,closed,0.9077354169170834,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b/seed_7002/run/action_events.jsonl.gz,0.8052732759935007,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b/seed_7002/run/action_events.jsonl.gz,0.10246214092358263,action_prompt=deliberate|model=qwen3.5-9b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7003,deliberate,qwen3.5-9b,closed,0.9038618109478196,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b/seed_7003/run/action_events.jsonl.gz,0.847684391805631,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b/seed_7003/run/action_events.jsonl.gz,0.056177419142188545,action_prompt=deliberate|model=qwen3.5-9b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7004,deliberate,qwen3.5-9b,closed,0.9032369498676318,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b/seed_7004/run/action_events.jsonl.gz,0.803966575176639,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b/seed_7004/run/action_events.jsonl.gz,0.09927037469099276,action_prompt=deliberate|model=qwen3.5-9b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7005,deliberate,qwen3.5-9b,closed,0.905436046369441,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b/seed_7005/run/action_events.jsonl.gz,0.8132174016059999,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b/seed_7005/run/action_events.jsonl.gz,0.0922186447634411,action_prompt=deliberate|model=qwen3.5-9b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7006,deliberate,qwen3.5-9b,closed,0.9012408485620198,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b/seed_7006/run/action_events.jsonl.gz,0.817732312504034,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b/seed_7006/run/action_events.jsonl.gz,0.0835085360579858,action_prompt=deliberate|model=qwen3.5-9b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7007,deliberate,qwen3.5-9b,closed,0.9038064901690375,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b/seed_7007/run/action_events.jsonl.gz,0.8251144208851515,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b/seed_7007/run/action_events.jsonl.gz,0.07869206928388595,action_prompt=deliberate|model=qwen3.5-9b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7008,deliberate,qwen3.5-9b,closed,0.9044092180521442,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b/seed_7008/run/action_events.jsonl.gz,0.837208488308992,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b/seed_7008/run/action_events.jsonl.gz,0.06720072974315228,action_prompt=deliberate|model=qwen3.5-9b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7001,deliberate,qwen3.5-4b,closed,0.9221301947421133,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-4b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-4b/seed_7001/run/action_events.jsonl.gz,0.7536200505450549,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b/seed_7001/run/action_events.jsonl.gz,0.16851014419705845,action_prompt=deliberate|model=qwen3.5-4b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7002,deliberate,qwen3.5-4b,closed,0.911838231351412,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-4b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-4b/seed_7002/run/action_events.jsonl.gz,0.7999302377888682,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b/seed_7002/run/action_events.jsonl.gz,0.11190799356254377,action_prompt=deliberate|model=qwen3.5-4b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7003,deliberate,qwen3.5-4b,closed,0.9231119660669529,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-4b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-4b/seed_7003/run/action_events.jsonl.gz,0.7418398593217381,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b/seed_7003/run/action_events.jsonl.gz,0.18127210674521477,action_prompt=deliberate|model=qwen3.5-4b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
