condition_id,kind,seed,model,persona_richness,action_prompt,interaction_pathway,persona_paraphrase,persona_order,model_decisions,executed_posts,extra_posts,multi_action_outputs,max_actions_in_one_output,jaccard_diversity,unique_text_ratio,mean_word_count,duplicate_text_ratio,strict_jaccard_diversity,strict_unique_text_ratio,strict_mean_word_count,strict_duplicate_text_ratio,tar_action_member,tar_prompt_member
persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8,grid,7001,qwen3.5-27b-fp8,generic,deliberate,closed,original,original,120,120,0,0,1,0.9112337951105473,0.85,22.125,0.15000000000000002,0.9112337951105473,0.85,22.125,0.15000000000000002,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7001/run/action_events.jsonl.gz,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7001/run/prompts_and_responses.jsonl.gz
persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8,grid,7002,qwen3.5-27b-fp8,generic,deliberate,closed,original,original,120,121,1,1,2,0.8910534728726324,0.7272727272727273,21.669421487603305,0.2727272727272727,0.8911075642724698,0.725,21.666666666666668,0.275,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7002/run/action_events.jsonl.gz,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7002/run/prompts_and_responses.jsonl.gz
persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8,grid,7003,qwen3.5-27b-fp8,generic,deliberate,closed,original,original,120,122,2,1,3,0.9041326476347691,0.8524590163934426,21.565573770491802,0.14754098360655743,0.9028674290023762,0.85,21.641666666666666,0.15000000000000002,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7003/run/action_events.jsonl.gz,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7003/run/prompts_and_responses.jsonl.gz
persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8,grid,7004,qwen3.5-27b-fp8,generic,deliberate,closed,original,original,120,120,0,0,1,0.901099878063733,0.7666666666666667,21.266666666666666,0.23333333333333328,0.901099878063733,0.7666666666666667,21.266666666666666,0.23333333333333328,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7004/run/action_events.jsonl.gz,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7004/run/prompts_and_responses.jsonl.gz
persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8,grid,7005,qwen3.5-27b-fp8,generic,deliberate,closed,original,original,120,120,0,0,1,0.8944191531942753,0.8166666666666667,21.833333333333332,0.18333333333333335,0.8944191531942753,0.8166666666666667,21.833333333333332,0.18333333333333335,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7005/run/action_events.jsonl.gz,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7005/run/prompts_and_responses.jsonl.gz
persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8,grid,7006,qwen3.5-27b-fp8,generic,deliberate,closed,original,original,120,121,1,1,2,0.8994634250970579,0.7355371900826446,22.85123966942149,0.2644628099173554,0.899276358474651,0.7333333333333333,22.925,0.2666666666666667,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7006/run/action_events.jsonl.gz,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7006/run/prompts_and_responses.jsonl.gz
persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8,grid,7007,qwen3.5-27b-fp8,generic,deliberate,closed,original,original,120,122,2,2,2,0.9028552631469243,0.8032786885245902,21.237704918032787,0.19672131147540983,0.9021762000798033,0.8083333333333333,21.266666666666666,0.19166666666666665,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7007/run/action_events.jsonl.gz,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7007/run/prompts_and_responses.jsonl.gz
persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8,grid,7008,qwen3.5-27b-fp8,generic,deliberate,closed,original,original,120,120,0,0,1,0.9141036864577264,0.825,19.716666666666665,0.17500000000000004,0.9141036864577264,0.825,19.716666666666665,0.17500000000000004,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7008/run/action_events.jsonl.gz,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7008/run/prompts_and_responses.jsonl.gz
persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b,grid,7001,qwen3.5-9b,generic,deliberate,closed,original,original,120,120,0,0,1,0.7977868876587436,0.43333333333333335,19.375,0.5666666666666667,0.7977868876587436,0.43333333333333335,19.375,0.5666666666666667,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b/seed_7001/run/action_events.jsonl.gz,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b/seed_7001/run/prompts_and_responses.jsonl.gz
persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b,grid,7002,qwen3.5-9b,generic,deliberate,closed,original,original,120,120,0,0,1,0.8052732759935007,0.4083333333333333,20.716666666666665,0.5916666666666667,0.8052732759935007,0.4083333333333333,20.716666666666665,0.5916666666666667,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b/seed_7002/run/action_events.jsonl.gz,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b/seed_7002/run/prompts_and_responses.jsonl.gz
