seed,action_prompt,model,interaction_pathway,treatment_value,treatment_condition,treatment_tar_member,reference_value,reference_condition,reference_tar_member,signed_effect,stratum_id,claim_id,official_parent,design_variable,design_level,persona_richness
7001,deliberate,qwen3.5-27b-fp8,closed,0.9135435388552783,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7001/run/action_events.jsonl.gz,0.9112337951105473,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7001/run/action_events.jsonl.gz,0.00230974374473103,action_prompt=deliberate|model=qwen3.5-27b-fp8|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7002,deliberate,qwen3.5-27b-fp8,closed,0.9124618722384348,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7002/run/action_events.jsonl.gz,0.8911075642724698,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7002/run/action_events.jsonl.gz,0.021354307965964936,action_prompt=deliberate|model=qwen3.5-27b-fp8|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7003,deliberate,qwen3.5-27b-fp8,closed,0.9099023056046928,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7003/run/action_events.jsonl.gz,0.9028674290023762,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7003/run/action_events.jsonl.gz,0.007034876602316609,action_prompt=deliberate|model=qwen3.5-27b-fp8|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7004,deliberate,qwen3.5-27b-fp8,closed,0.9082868712026677,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7004/run/action_events.jsonl.gz,0.901099878063733,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7004/run/action_events.jsonl.gz,0.007186993138934672,action_prompt=deliberate|model=qwen3.5-27b-fp8|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7005,deliberate,qwen3.5-27b-fp8,closed,0.9123749969595987,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7005/run/action_events.jsonl.gz,0.8944191531942753,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7005/run/action_events.jsonl.gz,0.01795584376532333,action_prompt=deliberate|model=qwen3.5-27b-fp8|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7006,deliberate,qwen3.5-27b-fp8,closed,0.9057716832650298,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7006/run/action_events.jsonl.gz,0.899276358474651,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7006/run/action_events.jsonl.gz,0.0064953247903787314,action_prompt=deliberate|model=qwen3.5-27b-fp8|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7007,deliberate,qwen3.5-27b-fp8,closed,0.9170068208403606,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7007/run/action_events.jsonl.gz,0.9021762000798033,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7007/run/action_events.jsonl.gz,0.0148306207605573,action_prompt=deliberate|model=qwen3.5-27b-fp8|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7008,deliberate,qwen3.5-27b-fp8,closed,0.9148289066650646,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7008/run/action_events.jsonl.gz,0.9141036864577264,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-27b-fp8/seed_7008/run/action_events.jsonl.gz,0.0007252202073381175,action_prompt=deliberate|model=qwen3.5-27b-fp8|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7001,deliberate,qwen3.5-9b,closed,0.9074657630331919,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b/seed_7001/run/action_events.jsonl.gz,0.7977868876587436,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b/seed_7001/run/action_events.jsonl.gz,0.10967887537444831,action_prompt=deliberate|model=qwen3.5-9b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7002,deliberate,qwen3.5-9b,closed,0.9073242469597266,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b/seed_7002/run/action_events.jsonl.gz,0.8052732759935007,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b/seed_7002/run/action_events.jsonl.gz,0.10205097096622584,action_prompt=deliberate|model=qwen3.5-9b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7003,deliberate,qwen3.5-9b,closed,0.9039045132457839,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b/seed_7003/run/action_events.jsonl.gz,0.847684391805631,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b/seed_7003/run/action_events.jsonl.gz,0.05622012144015287,action_prompt=deliberate|model=qwen3.5-9b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7004,deliberate,qwen3.5-9b,closed,0.9026607939768827,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b/seed_7004/run/action_events.jsonl.gz,0.8051600654405031,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b/seed_7004/run/action_events.jsonl.gz,0.09750072853637959,action_prompt=deliberate|model=qwen3.5-9b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7005,deliberate,qwen3.5-9b,closed,0.9056764436269777,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b/seed_7005/run/action_events.jsonl.gz,0.8132174016059999,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b/seed_7005/run/action_events.jsonl.gz,0.09245904202097788,action_prompt=deliberate|model=qwen3.5-9b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7006,deliberate,qwen3.5-9b,closed,0.9014270126069295,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b/seed_7006/run/action_events.jsonl.gz,0.8161857454881282,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b/seed_7006/run/action_events.jsonl.gz,0.08524126711880131,action_prompt=deliberate|model=qwen3.5-9b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7007,deliberate,qwen3.5-9b,closed,0.9038064901690375,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b/seed_7007/run/action_events.jsonl.gz,0.8237304294039863,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b/seed_7007/run/action_events.jsonl.gz,0.08007606076505114,action_prompt=deliberate|model=qwen3.5-9b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7008,deliberate,qwen3.5-9b,closed,0.9052866462233294,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-9b/seed_7008/run/action_events.jsonl.gz,0.8337704416705738,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-9b/seed_7008/run/action_events.jsonl.gz,0.07151620455275565,action_prompt=deliberate|model=qwen3.5-9b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7001,deliberate,qwen3.5-4b,closed,0.914115849546788,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-4b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-4b/seed_7001/run/action_events.jsonl.gz,0.7497734956749053,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b/seed_7001/run/action_events.jsonl.gz,0.16434235387188278,action_prompt=deliberate|model=qwen3.5-4b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
7002,deliberate,qwen3.5-4b,closed,0.9116923879945296,persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-4b,persona_expression/sweeps/runs/persona_richness-demographic__action_prompt-deliberate__model-qwen3.5-4b/seed_7002/run/action_events.jsonl.gz,0.7266481823491083,persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b,persona_expression/sweeps/runs/persona_richness-generic__action_prompt-deliberate__model-qwen3.5-4b/seed_7002/run/action_events.jsonl.gz,0.18504420564542123,action_prompt=deliberate|model=qwen3.5-4b|interaction_pathway=closed,E1a,h1_persona_bottleneck,default_signal_rows,default,
