claim_id,design_variable,design_level,identifiable,point_estimate,pooled_run_mean,median_stratum,sign_consistency,n_strata,n_seed_effects,seeds,hier_ci_low,hier_ci_high,seed_ci_low,seed_ci_high,ci_low,ci_high
Z1,topic_paraphrase,reworded,True,-0.021875,-0.021875,-0.021875,0.0,1.0,5.0,4001;4002;4003;4004;4005,-0.0375,-0.00625,-0.0375,-0.00625,-0.0375,-0.00625
Z1,persona_content,paraphrase,True,-0.0015625,-0.0015625,-0.0015625,0.0,1.0,5.0,4001;4002;4003;4004;4005,-0.0046875,0.0,-0.0046875,0.0,-0.0046875,0.0
Z1,persona_content,narrative-stance,True,-0.01171875,-0.01171875,-0.01171875,0.0,1.0,5.0,4001;4002;4003;4004;4005,-0.01875,-0.0046875,-0.01875,-0.0046875,-0.01875,-0.0046875
Z1,persona_content,order-b,True,-0.0359375,-0.0359375,-0.0359375,0.0,1.0,5.0,4001;4002;4003;4004;4005,-0.06953125,-0.00623046874999993,-0.07109375,-0.00546875,-0.07109375,-0.00546875
Z1,prompt_paraphrase,reworded,True,-0.03828125,-0.03828125,-0.03828125,0.0,1.0,5.0,4001;4002;4003;4004;4005,-0.0578125,-0.0171875,-0.0578125,-0.0171875,-0.0578125,-0.0171875
Z6,topic_paraphrase,reworded,False,,,,,,,,,,,,,
Z6,persona_content,paraphrase,False,,,,,,,,,,,,,
Z6,persona_content,narrative-stance,False,,,,,,,,,,,,,
Z6,persona_content,order-b,False,,,,,,,,,,,,,
Z6,prompt_paraphrase,reworded,False,,,,,,,,,,,,,
Z2a,topic_paraphrase,reworded,False,,,,,,,,,,,,,
Z2a,persona_content,paraphrase,False,,,,,,,,,,,,,
Z2a,persona_content,narrative-stance,False,,,,,,,,,,,,,
Z2a,persona_content,order-b,False,,,,,,,,,,,,,
Z2a,prompt_paraphrase,reworded,False,,,,,,,,,,,,,
Z2b,topic_paraphrase,reworded,False,,,,,,,,,,,,,
Z2b,persona_content,paraphrase,False,,,,,,,,,,,,,
Z2b,persona_content,narrative-stance,False,,,,,,,,,,,,,
Z2b,persona_content,order-b,False,,,,,,,,,,,,,
Z2b,prompt_paraphrase,reworded,False,,,,,,,,,,,,,
Z2c,topic_paraphrase,reworded,False,,,,,,,,,,,,,
Z2c,persona_content,paraphrase,False,,,,,,,,,,,,,
Z2c,persona_content,narrative-stance,False,,,,,,,,,,,,,
Z2c,persona_content,order-b,False,,,,,,,,,,,,,
Z2c,prompt_paraphrase,reworded,False,,,,,,,,,,,,,
Z2d,topic_paraphrase,reworded,False,,,,,,,,,,,,,
Z2d,persona_content,paraphrase,False,,,,,,,,,,,,,
Z2d,persona_content,narrative-stance,False,,,,,,,,,,,,,
Z2d,persona_content,order-b,False,,,,,,,,,,,,,
Z2d,prompt_paraphrase,reworded,False,,,,,,,,,,,,,
Z3,topic_paraphrase,reworded,False,,,,,,,,,,,,,
Z3,persona_content,paraphrase,False,,,,,,,,,,,,,
Z3,persona_content,narrative-stance,False,,,,,,,,,,,,,
Z3,persona_content,order-b,False,,,,,,,,,,,,,
Z3,prompt_paraphrase,reworded,False,,,,,,,,,,,,,
Z4,topic_paraphrase,reworded,True,0.15625,0.15625,0.15625,1.0,2.0,10.0,4001;4002;4003;4004;4005,0.056249999999999994,0.28125,0.1,0.2125,0.056249999999999994,0.28125
Z4,persona_content,paraphrase,True,0.00625,0.00625,0.00625,0.5,2.0,10.0,4001;4002;4003;4004;4005,0.0,0.025,0.0,0.01875,0.0,0.025
Z4,persona_content,narrative-stance,True,0.14375,0.14375,0.14375,1.0,2.0,10.0,4001;4002;4003;4004;4005,0.056249999999999994,0.25625,0.09375,0.2,0.056249999999999994,0.25625
Z4,persona_content,order-b,True,0.225,0.225,0.225,1.0,2.0,10.0,4001;4002;4003;4004;4005,0.10625,0.3125,0.16875,0.28125,0.10625,0.3125
Z4,prompt_paraphrase,reworded,True,0.26875000000000004,0.26875,0.26875000000000004,1.0,2.0,10.0,4001;4002;4003;4004;4005,0.18125000000000002,0.35015625000000056,0.16875,0.36875,0.16875,0.36875
