seed,graph_file,memory_architecture,model,topic,treatment_value,treatment_condition,treatment_tar_member,reference_value,reference_condition,reference_tar_member,signed_effect,stratum_id,claim_id,official_parent,design_variable,design_level,condition_id,tar_probe_member,exposure_rule
4001,scale-free,window,qwen3.5-27b-fp8,euthanasia,-0.01171875,exposure_rule-stance-sim__graph_file-scale-free,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free/seed_4001/run/probe_events.jsonl.gz,0.04296875,exposure_rule-chrono__graph_file-scale-free,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free/seed_4001/run/probe_events.jsonl.gz,-0.0546875,graph_file=scale-free|memory_architecture=window|model=qwen3.5-27b-fp8|topic=euthanasia,Z1,h1_exposure_rule,default_grid,default,,,
4002,scale-free,window,qwen3.5-27b-fp8,euthanasia,-0.03515625,exposure_rule-stance-sim__graph_file-scale-free,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free/seed_4002/run/probe_events.jsonl.gz,0.01953125,exposure_rule-chrono__graph_file-scale-free,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free/seed_4002/run/probe_events.jsonl.gz,-0.0546875,graph_file=scale-free|memory_architecture=window|model=qwen3.5-27b-fp8|topic=euthanasia,Z1,h1_exposure_rule,default_grid,default,,,
4003,scale-free,window,qwen3.5-27b-fp8,euthanasia,-0.01953125,exposure_rule-stance-sim__graph_file-scale-free,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free/seed_4003/run/probe_events.jsonl.gz,-0.00390625,exposure_rule-chrono__graph_file-scale-free,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free/seed_4003/run/probe_events.jsonl.gz,-0.015625,graph_file=scale-free|memory_architecture=window|model=qwen3.5-27b-fp8|topic=euthanasia,Z1,h1_exposure_rule,default_grid,default,,,
4004,scale-free,window,qwen3.5-27b-fp8,euthanasia,-0.02734375,exposure_rule-stance-sim__graph_file-scale-free,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free/seed_4004/run/probe_events.jsonl.gz,0.02734375,exposure_rule-chrono__graph_file-scale-free,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free/seed_4004/run/probe_events.jsonl.gz,-0.0546875,graph_file=scale-free|memory_architecture=window|model=qwen3.5-27b-fp8|topic=euthanasia,Z1,h1_exposure_rule,default_grid,default,,,
4005,scale-free,window,qwen3.5-27b-fp8,euthanasia,-0.01953125,exposure_rule-stance-sim__graph_file-scale-free,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-scale-free/seed_4005/run/probe_events.jsonl.gz,0.0,exposure_rule-chrono__graph_file-scale-free,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free/seed_4005/run/probe_events.jsonl.gz,-0.01953125,graph_file=scale-free|memory_architecture=window|model=qwen3.5-27b-fp8|topic=euthanasia,Z1,h1_exposure_rule,default_grid,default,,,
4001,small-world,window,qwen3.5-27b-fp8,euthanasia,-0.046875,exposure_rule-stance-sim__graph_file-small-world,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-small-world/seed_4001/run/probe_events.jsonl.gz,-0.0078125,exposure_rule-chrono__graph_file-small-world,polarization/sweeps/runs/exposure_rule-chrono__graph_file-small-world/seed_4001/run/probe_events.jsonl.gz,-0.0390625,graph_file=small-world|memory_architecture=window|model=qwen3.5-27b-fp8|topic=euthanasia,Z1,h1_exposure_rule,default_grid,default,,,
4002,small-world,window,qwen3.5-27b-fp8,euthanasia,-0.0546875,exposure_rule-stance-sim__graph_file-small-world,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-small-world/seed_4002/run/probe_events.jsonl.gz,-0.0078125,exposure_rule-chrono__graph_file-small-world,polarization/sweeps/runs/exposure_rule-chrono__graph_file-small-world/seed_4002/run/probe_events.jsonl.gz,-0.046875,graph_file=small-world|memory_architecture=window|model=qwen3.5-27b-fp8|topic=euthanasia,Z1,h1_exposure_rule,default_grid,default,,,
4003,small-world,window,qwen3.5-27b-fp8,euthanasia,-0.0390625,exposure_rule-stance-sim__graph_file-small-world,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-small-world/seed_4003/run/probe_events.jsonl.gz,-0.0390625,exposure_rule-chrono__graph_file-small-world,polarization/sweeps/runs/exposure_rule-chrono__graph_file-small-world/seed_4003/run/probe_events.jsonl.gz,0.0,graph_file=small-world|memory_architecture=window|model=qwen3.5-27b-fp8|topic=euthanasia,Z1,h1_exposure_rule,default_grid,default,,,
4004,small-world,window,qwen3.5-27b-fp8,euthanasia,-0.0234375,exposure_rule-stance-sim__graph_file-small-world,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-small-world/seed_4004/run/probe_events.jsonl.gz,-0.01171875,exposure_rule-chrono__graph_file-small-world,polarization/sweeps/runs/exposure_rule-chrono__graph_file-small-world/seed_4004/run/probe_events.jsonl.gz,-0.01171875,graph_file=small-world|memory_architecture=window|model=qwen3.5-27b-fp8|topic=euthanasia,Z1,h1_exposure_rule,default_grid,default,,,
4005,small-world,window,qwen3.5-27b-fp8,euthanasia,-0.04296875,exposure_rule-stance-sim__graph_file-small-world,polarization/sweeps/runs/exposure_rule-stance-sim__graph_file-small-world/seed_4005/run/probe_events.jsonl.gz,-0.03125,exposure_rule-chrono__graph_file-small-world,polarization/sweeps/runs/exposure_rule-chrono__graph_file-small-world/seed_4005/run/probe_events.jsonl.gz,-0.01171875,graph_file=small-world|memory_architecture=window|model=qwen3.5-27b-fp8|topic=euthanasia,Z1,h1_exposure_rule,default_grid,default,,,
