condition_id,kind,seed,exposure_rule,graph_file,memory_architecture,model,topic,topic_paraphrase,persona_content,prompt_paraphrase,strict_probe_outputs,missing_probe_outputs,probe_calls,complete_probe_trajectory,initial_edge_alignment,final_edge_alignment,edge_alignment_gain,initial_opinion_variance,final_opinion_variance,opinion_variance_change,opinion_volatility,mean_absolute_opinion_shift,credulous_mean_shift,skeptical_mean_shift,credulity_shift_gap,prompt_records,tool_call_decisions,memory_or_probe_prompt_records,generated_nonterminal_actions,executed_nonterminal_actions,unexecuted_generated_calls,unexpected_event_calls,exact_action_sequence_match,unexecuted_call_labels_json,unexpected_event_labels_json,generated_overshoot_turns,generated_calls_above_cap,executed_overshoot_turns,executed_events_above_cap,maximum_generated_calls_in_agent_episode,maximum_executed_events_in_agent_episode,tar_action_member,tar_probe_member,tar_prompt_member
exposure_rule-chrono__graph_file-scale-free,grid,4001,chrono,scale-free,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.58203125,0.625,0.04296875,1.935483870967742,2.6088709677419355,0.6733870967741935,0.03125,0.3125,0.5,0.125,0.375,1287,839,448,1576,1576,0,0,True,{},{},174,367,174,367,12,12,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free/seed_4001/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free/seed_4001/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free/seed_4001/run/prompts_and_responses.jsonl.gz
exposure_rule-chrono__graph_file-scale-free,grid,4002,chrono,scale-free,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.58203125,0.6015625,0.01953125,1.935483870967742,2.306451612903226,0.370967741935484,0.017857142857142856,0.1875,0.3125,0.0625,0.25,1276,828,448,1653,1653,0,0,True,{},{},197,397,197,397,13,13,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free/seed_4002/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free/seed_4002/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free/seed_4002/run/prompts_and_responses.jsonl.gz
exposure_rule-chrono__graph_file-scale-free,grid,4003,chrono,scale-free,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.58203125,0.578125,-0.00390625,1.935483870967742,2.474798387096774,0.539314516129032,0.029017857142857144,0.28125,0.3125,0.25,0.0625,1312,864,448,1473,1473,0,0,True,{},{},162,277,162,277,11,11,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free/seed_4003/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free/seed_4003/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free/seed_4003/run/prompts_and_responses.jsonl.gz
exposure_rule-chrono__graph_file-scale-free,grid,4004,chrono,scale-free,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.58203125,0.609375,0.02734375,1.935483870967742,2.350806451612903,0.41532258064516103,0.022321428571428572,0.1875,0.375,0.0,0.375,1284,836,448,1546,1546,0,0,True,{},{},167,321,167,321,12,12,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free/seed_4004/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free/seed_4004/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free/seed_4004/run/prompts_and_responses.jsonl.gz
exposure_rule-chrono__graph_file-scale-free,grid,4005,chrono,scale-free,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.58203125,0.58203125,0.0,1.935483870967742,2.189516129032258,0.254032258064516,0.013392857142857142,0.125,0.1875,0.0625,0.125,1368,920,448,1479,1479,0,0,True,{},{},153,269,153,269,13,13,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free/seed_4005/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free/seed_4005/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-scale-free/seed_4005/run/prompts_and_responses.jsonl.gz
exposure_rule-chrono__graph_file-small-world,grid,4001,chrono,small-world,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.84375,0.8359375,-0.0078125,1.935483870967742,2.1774193548387095,0.24193548387096753,0.017857142857142856,0.125,0.1875,0.0625,0.125,1208,760,448,1944,1944,0,0,True,{},{},262,644,262,644,11,11,polarization/sweeps/runs/exposure_rule-chrono__graph_file-small-world/seed_4001/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-small-world/seed_4001/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-small-world/seed_4001/run/prompts_and_responses.jsonl.gz
exposure_rule-chrono__graph_file-small-world,grid,4002,chrono,small-world,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.84375,0.8359375,-0.0078125,1.935483870967742,1.966733870967742,0.03125,0.033482142857142856,0.09375,0.125,0.0625,0.0625,1187,739,448,2036,2036,0,0,True,{},{},274,757,274,757,12,12,polarization/sweeps/runs/exposure_rule-chrono__graph_file-small-world/seed_4002/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-small-world/seed_4002/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-small-world/seed_4002/run/prompts_and_responses.jsonl.gz
exposure_rule-chrono__graph_file-small-world,grid,4003,chrono,small-world,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.84375,0.8046875,-0.0390625,1.935483870967742,2.4183467741935485,0.4828629032258065,0.05580357142857143,0.21875,0.4375,0.0,0.4375,1168,720,448,1824,1824,0,0,True,{},{},257,541,257,541,11,11,polarization/sweeps/runs/exposure_rule-chrono__graph_file-small-world/seed_4003/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-small-world/seed_4003/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-small-world/seed_4003/run/prompts_and_responses.jsonl.gz
exposure_rule-chrono__graph_file-small-world,grid,4004,chrono,small-world,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.84375,0.83203125,-0.01171875,1.935483870967742,2.3830645161290325,0.4475806451612905,0.026785714285714284,0.25,0.375,0.125,0.25,1206,758,448,1939,1939,0,0,True,{},{},249,650,249,650,14,14,polarization/sweeps/runs/exposure_rule-chrono__graph_file-small-world/seed_4004/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-small-world/seed_4004/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-small-world/seed_4004/run/prompts_and_responses.jsonl.gz
exposure_rule-chrono__graph_file-small-world,grid,4005,chrono,small-world,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.84375,0.8125,-0.03125,1.935483870967742,2.370967741935484,0.435483870967742,0.03571428571428571,0.1875,0.3125,0.0625,0.25,1187,739,448,2069,2069,0,0,True,{},{},289,749,289,749,20,20,polarization/sweeps/runs/exposure_rule-chrono__graph_file-small-world/seed_4005/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-small-world/seed_4005/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-small-world/seed_4005/run/prompts_and_responses.jsonl.gz
exposure_rule-chrono__graph_file-random,grid,4001,chrono,random,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.61328125,0.625,0.01171875,1.935483870967742,2.160282258064516,0.22479838709677402,0.015625,0.15625,0.1875,0.125,0.0625,1282,834,448,1621,1621,0,0,True,{},{},199,356,199,356,12,12,polarization/sweeps/runs/exposure_rule-chrono__graph_file-random/seed_4001/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-random/seed_4001/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-random/seed_4001/run/prompts_and_responses.jsonl.gz
exposure_rule-chrono__graph_file-random,grid,4002,chrono,random,window,qwen3.5-27b-fp8,euthanasia,original,default,default,448,0,448,True,0.61328125,0.6171875,0.00390625,1.935483870967742,1.9314516129032258,-0.0040322580645162365,0.013392857142857142,0.0625,0.0625,0.0625,0.0,1329,881,448,1509,1509,0,0,True,{},{},161,280,161,280,13,13,polarization/sweeps/runs/exposure_rule-chrono__graph_file-random/seed_4002/run/action_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-random/seed_4002/run/probe_events.jsonl.gz,polarization/sweeps/runs/exposure_rule-chrono__graph_file-random/seed_4002/run/prompts_and_responses.jsonl.gz
